name,year,author,word1,freq1,word2,freq2,word3,freq3
Suspendisse potenti.,2011,Bryn Kemish,nec,29,primis,43,pellentesque,74
Etiam pretium iaculis justo.,1994,Belvia Mateescu,in,12,volutpat,53,quis,90
"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",2000,Temple Ranns,non,56,adipiscing,67,eu,10
Aenean sit amet justo.,1996,Dreddy Eyden,massa,23,lectus,67,tincidunt,90
Duis ac nibh.,2012,Yancey Wallwood,posuere,42,tortor,89,pulvinar,74
In congue.,2008,Annaliese Gouinlock,habitasse,42,vestibulum,65,nunc,84
Integer ac neque.,2012,May Treend,erat,12,sit,65,at,10
Proin at turpis a pede posuere nonummy.,2012,Adrea Purches,iaculis,76,phasellus,59,habitasse,92
Aliquam non mauris.,2007,Waiter Swales,quisque,53,justo,89,libero,10
Proin risus.,2001,Conrade Jozsef,mauris,29,diam,120,nulla,84
Morbi quis tortor id nulla ultrices aliquet.,1997,Mireille Khristoforov,elementum,98,morbi,59,a,92
In congue.,1996,Darren Treacher,tincidunt,12,eu,120,luctus,19
Duis bibendum.,2010,Chan Krahl,tincidunt,23,ligula,19,sodales,92
Nullam sit amet turpis elementum ligula vehicula consequat.,1996,Raine Lesek,in,93,felis,120,integer,89
Duis aliquam convallis nunc.,2007,Chauncey Beves,eros,53,lectus,19,duis,89
Suspendisse ornare consequat lectus.,2013,Cati Gounet,nulla,84,justo,43,donec,84
Cras non velit nec nisi vulputate nonummy.,1999,Ruthanne Muehle,accumsan,56,lorem,53,pretium,19
"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",2005,Zita Alberts,faucibus,23,nunc,89,aliquam,92
Pellentesque eget nunc.,1996,Fanechka Lacy,libero,98,nam,53,lorem,92
Suspendisse potenti.,2007,Borden Missington,vestibulum,98,penatibus,73,maecenas,18
Nunc nisl.,1999,Susana Jone,habitasse,56,lacinia,73,accumsan,84
Nunc nisl.,1997,Jaquelyn Pickthorne,lacinia,29,justo,67,elit,92
Integer tincidunt ante vel ipsum.,1998,Rosabel Rings,pretium,93,mi,67,ut,80
In quis justo.,1992,Gail Venn,bibendum,29,platea,19,elementum,10
Donec dapibus.,2000,Gunner Bariball,scelerisque,76,purus,43,morbi,19
Suspendisse potenti.,1984,Colleen Howis,id,23,ipsum,53,mauris,84
"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",2011,Meris Gault,velit,29,massa,73,turpis,89
Nulla tellus.,1993,Nerti Gerb,etiam,42,imperdiet,59,pede,19
In congue.,2012,Goddart Tettley,sem,12,sit,67,pede,129
Morbi ut odio.,2006,Rodolphe Bramont,aenean,53,faucibus,53,nisi,90
Mauris sit amet eros.,2007,Say Dossetter,nisl,84,donec,73,sapien,19
Nulla ac enim.,1994,Skelly Eldin,volutpat,56,sit,59,nisl,92
Etiam vel augue.,2006,Tamera Clint,nullam,12,elementum,43,sed,10
Nulla nisl.,1986,Candice M'Quharg,convallis,23,a,43,sed,90
"Maecenas tristique, est et tempus semper, est quam pharetra magna, ac consequat metus sapien ut nunc.",1994,Tyrone Wincer,quam,56,magnis,65,et,10
Sed sagittis.,2000,Easter Seaman,ipsum,23,cubilia,67,amet,10
"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",1990,Edith Maylour,massa,42,in,65,sed,80
Curabitur in libero ut massa volutpat convallis.,1993,Cherice Bjerkan,aliquet,42,in,89,turpis,129
Suspendisse accumsan tortor quis turpis.,1992,Rollins De La Coste,sit,84,at,67,imperdiet,74
Aenean sit amet justo.,2001,Eran Deniso,aliquet,76,tortor,59,vulputate,89
Pellentesque viverra pede ac diam.,1994,Ainslee Heggie,ante,76,vestibulum,73,non,10
Proin risus.,1998,Jasun Awdry,fermentum,29,pellentesque,73,lacinia,18
Praesent lectus.,2002,Niccolo Dismore,ornare,23,id,53,nulla,89
Vivamus vestibulum sagittis sapien.,1992,Lorine Gilman,cubilia,84,quis,120,porta,19
Mauris lacinia sapien quis libero.,2007,Adorne Gayler,quam,29,ac,67,duis,74
Nulla mollis molestie lorem.,1997,Dale Drohun,varius,12,amet,53,penatibus,84
"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",2007,Cortney Baudic,maecenas,76,integer,67,rutrum,10
Etiam justo.,1999,Shirlee Jensen,in,42,cubilia,89,in,92
Cras pellentesque volutpat dui.,2008,Thoma Rainey,ut,23,felis,59,fusce,10
Proin at turpis a pede posuere nonummy.,1996,Munroe Twigge,pretium,23,purus,67,nulla,10
Nulla facilisi.,2012,Sarge Weond,justo,23,donec,89,viverra,10
"Morbi vestibulum, velit id pretium iaculis, diam erat fermentum justo, nec condimentum neque sapien placerat ante.",1967,Essie Filipputti,rutrum,29,et,53,praesent,10
Aliquam non mauris.,2001,Geno Brounsell,volutpat,23,pretium,67,ullamcorper,80
"Nam ultrices, libero non mattis pulvinar, nulla pede ullamcorper augue, a suscipit nulla elit ac nulla.",1989,Renate Idel,erat,56,ac,43,ac,80
Integer tincidunt ante vel ipsum.,2006,Onofredo Raddin,in,84,aliquet,67,eget,74
Aenean sit amet justo.,2003,Pauli Maharry,lectus,84,ultrices,65,tincidunt,89
Vivamus tortor.,1991,Fidole Vernazza,congue,53,dapibus,67,id,129
Mauris ullamcorper purus sit amet nulla.,2012,Inger Olwen,ut,42,proin,43,suscipit,19
Etiam faucibus cursus urna.,1998,Mathilde Dimmick,convallis,23,ut,73,felis,89
Cras non velit nec nisi vulputate nonummy.,2008,Base Joll,ipsum,12,lorem,19,luctus,10
Fusce posuere felis sed lacus.,1964,Lockwood Gimenez,ultrices,98,dapibus,43,eget,90
